Dealership,Website,City,State,Phone,is_active,verified_url,manufacturer,last_verified,verification_status
Hyundai of Plymouth,plymouthhyundai.com,Plymouth,MA,508-555-0130,False,,Hyundai,2025-03-10T20:51:16.086577,verified
Mercedes-Benz of Burlington,mbbburlington.com,Burlington,MA,781-555-0129,False,,Mercedes,2025-03-10T20:51:16.086605,verified
Jeep Chrysler Dodge RAM of Lowell,lowellcjd.com,Lowell,MA,978-555-0132,False,,Stellantis,2025-03-10T20:51:16.086894,verified
Kia of Brockton,brocktonkia.com,Brockton,MA,508-555-0131,False,,Kia,2025-03-10T20:51:16.087248,verified
Ford Lincoln of Boston,bostonfordlincoln.com,Boston,MA,617-555-0124,False,,Ford,2025-03-10T20:51:16.088064,verified
BMW of Cambridge,cambridgebmw.com,Cambridge,MA,617-555-0126,False,,BMW,2025-03-10T20:51:16.089245,verified
Nissan of Marlborough,marlboroughnissan.com,Marlborough,MA,508-555-0134,False,,Nissan,2025-03-10T20:51:16.089754,verified
Honda North,hondanorth.com,Danvers,MA,978-555-0127,False,,Honda,2025-03-10T20:51:16.120718,verified
Audi Westwood,audiwestwood.com,Westwood,MA,781-555-0133,False,,VW,2025-03-10T20:51:16.124751,verified
Porsche Norwell,porschenorwell.com,Norwell,MA,781-555-0140 ,False,,VW,2025-03-10T20:51:16.158009,verified
Chevrolet of Worcester,worcesterchevrolet.com,Worcester,MA,508-555-0125,False,,GM,2025-03-10T20:51:16.176653,verified
Volvo Cars MetroWest,volvometrowest.com,Framingham,MA,508-555-0137,False,,Volvo,2025-03-10T20:51:16.182679,verified
Mazda Gallery,mazdagallery.com,Norwood,MA,781-555-0135,False,,Mazda,2025-03-10T20:51:16.209661,verified
Jaguar Land Rover Sudbury,jlrsudbury.com,Sudbury,MA,978-555-0138,False,,Jaguar Land Rover,2025-03-10T20:51:16.213761,verified
Lexus of Watertown,lexusofwatertown.com,Watertown,MA,617-555-0128,True,https://www.lexusofwatertown.com/,Toyota,2025-03-10T20:51:18.063006,verified
Toyota of Springfield,toyotaspringfield.com,Springfield,MA,413-555-0123,False,,Toyota,2025-03-10T20:51:21.088819,verified
Tesla Dedham,tesla.com/dedham,Dedham,MA,781-555-0139,False,,Tesla,2025-03-10T20:51:21.151698,verified
Subaru of Wakefield,subaruofwakefield.com,Wakefield,MA,781-555-0136,False,,Subaru,2025-03-10T20:51:21.169928,verified
